id,xcentroid,ycentroid,sky_centroid,sky_centroid_icrs,source_sum,source_sum_err,background_sum,background_mean,background_at_centroid,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,min_value,max_value,minval_xpos,minval_ypos,maxval_xpos,maxval_ypos,area,equivalent_radius,perimeter,semimajor_axis_sigma,semiminor_axis_sigma,orientation,eccentricity,ellipticity,elongation,covar_sigx2,covar_sigxy,covar_sigy2,cxx,cxy,cyy,gini,aperture_sum_001,aperture_sum_023,aperture_sum_024,aperture_sum_025,aperture_sum_026,aperture_sum_027,aperture_sum_028,aperture_sum_029,aperture_sum_022,aperture_sum_030,aperture_sum_032,aperture_sum_033,aperture_sum_034,aperture_sum_035,aperture_sum_036,aperture_sum_037,aperture_sum_038,aperture_sum_031,aperture_sum_021,aperture_sum_020,aperture_sum_019,aperture_sum_002,aperture_sum_003,aperture_sum_004,aperture_sum_005,aperture_sum_006,aperture_sum_007,aperture_sum_008,aperture_sum_009,aperture_sum_010,aperture_sum_011,aperture_sum_012,aperture_sum_013,aperture_sum_014,aperture_sum_015,aperture_sum_016,aperture_sum_017,aperture_sum_018,aperture_sum_039,aperture_sum_040
81,608.0,326.0,"3.5862899574629132,-30.40044696071051","3.586286925954974,-30.400449137766113",5669.054,None,None,None,None,473.0,731.0,96.0,437.0,0.01933324,16.310883,549.0,110.0,608.0,326.0,45122.0,119.84481083628529,2035.7089450151002,51.55384824916127,37.29746075674581,74.45937526534252,0.6903599234690613,0.2765339150535169,1.3822348010604713,1482.0266944720795,326.96855051196326,2566.873153726462,0.0006942624855303005,-0.00017687044506981152,0.0004008439353665418,0.6166482548105066,46.36090568730307,1806.931561736409,1859.675641967424,1911.6983850982078,1963.0328040405811,2013.715026403536,2063.4512472179727,2110.1365815530585,1753.4792795792373,2154.7723373024564,2239.6337108872995,2280.43389681858,2320.142931113704,2358.9254201752806,2396.4570368107597,2432.6900107386564,2467.660612574684,2197.817181014001,1699.3369158092755,1644.5151091443163,1588.9074886564963,161.56748773798108,301.89758493022435,438.79523144423973,561.8851553388173,669.8409952095724,766.4408027908138,854.392150532895,936.0350124384482,1012.7375603824574,1085.834044330808,1156.1416153473344,1224.0536174021895,1289.7343236120453,1353.2636932958217,1414.726945856127,1474.2754879401136,1532.2489367108124,2501.4459242036883,2533.8024218271153
119,165.0,837.0,"3.5948099282092514,-30.391657997076933","3.594806895721055,-30.391660173288628",2811.171,None,None,None,None,82.0,246.0,746.0,939.0,0.019338343,10.602837,240.0,792.0,165.0,837.0,19980.0,79.74855187369948,1063.2295808265224,27.73649010430654,19.47738503692829,-55.31299537598523,0.7119505278943868,0.2977703752824836,1.4240356213998615,505.6585913112717,-182.47442906016514,643.0228198717809,0.0022032413863286695,0.001250453954751456,0.0017325791578466818,0.6688394221304719,30.36077496752263,1531.2733226028258,1568.319129920159,1603.20984602281,1636.113710271508,1667.1163255749877,1696.3022226514965,1723.7876838801299,1492.010742925569,1749.6886261867521,1797.2107461738838,1818.8870303783933,1839.2863586806561,1858.4732763914399,1876.529400287287,1893.504687180721,1909.4394120905536,1774.155869993864,1450.5181468531339,1406.6135708449333,1360.1892754332462,107.20820855038335,204.58441572628453,305.8939898263234,404.2886134819694,497.9632164398913,586.8293793939162,670.9356654026897,750.3059047325163,825.2331023103324,896.2133775413,963.7202404586055,1028.2649215764807,1090.0308454025605,1149.1817478850776,1205.7720368671946,1259.8228282928853,1311.278109669142,1924.4168587077882,1938.5111495808387
94,535.0,551.0,"3.58757855383938,-30.396454700724686","3.5875755218286405,-30.396456877652664",2052.22,None,None,None,None,461.0,638.0,464.0,641.0,0.019333756,11.385919,467.0,495.0,535.0,551.0,15688.0,70.66573069353566,720.2640687119286,25.603783535892873,20.820664358591515,61.39511614760956,0.5820024701933626,0.1868129829560582,1.2297294214498797,484.39866143550466,93.33570027461829,604.6551342504774,0.002127699467777975,-0.0006568713587296657,0.0017045332384488438,0.6245180111006425,32.355482471473664,1123.9802952315606,1146.7433954732196,1168.373936749521,1188.978052483,1208.6286004632216,1227.2547414274004,1244.8625217098368,1099.976676322644,1261.5085923243862,1292.0596102286238,1306.1538826981462,1319.556612480772,1332.285166508995,1344.1521041114804,1355.112633373483,1365.2546864978533,1277.2064715127974,1074.6187961628366,1047.7993899062883,1019.4316823809833,111.87572303075028,206.8510017272772,298.37378348542717,380.3501823344068,452.08932750162694,516.0973499872765,574.0955760405326,627.4620187627487,677.0871421701725,723.730220074935,768.0054466699171,810.1023704316015,850.1352714706479,888.022156322679,923.8168955864071,957.5653969793591,989.3943298042853,1374.576438317874,1383.2269463143225
100,652.0,679.0,"3.585489475794152,-30.394214790936655","3.585486443438651,-30.39421696807155",2047.3755,None,None,None,None,558.0,743.0,554.0,770.0,0.019339686,11.162822,729.0,728.0,652.0,679.0,13967.0,66.67708887113326,895.2001435749994,28.496058744539678,18.01450446954701,43.022861767132255,0.7748253937399414,0.36782470056498984,1.5818397221367608,585.0830608452633,243.17122155703936,551.4646744103221,0.0020926830765400093,-0.0018455590128166244,0.002220257210691415,0.6695748148703853,32.277780950300276,1207.3874005924274,1227.1900744544273,1245.776354438688,1263.2563140309414,1279.6848913770568,1295.1326803043407,1309.6967251057697,1186.1809892564156,1323.4674669288218,1348.76931482116,1360.4112550313876,1371.5472119052372,1382.3206022908353,1392.6782448029553,1402.3610884386978,1411.1702559681585,1336.4889542824274,1163.3648552898305,1138.676683694558,1111.964554758984,113.51561418087142,213.14179825552043,310.4747187780183,399.1824888260288,478.4096779764086,550.2568567974167,616.2255199264808,677.3789035375686,734.4688046269089,788.2221584376515,839.3734589204239,888.3164450111067,935.4099432296093,978.7448956928879,1016.7778255373271,1051.5265663032553,1083.249852927921,1419.1797013459131,1426.5405462368599
85,591.0,373.0,"3.5865082442470024,-30.39898809837999","3.586505212549695,-30.398990275413983",1706.5284,None,None,None,None,519.0,717.0,351.0,496.0,0.019338096,6.22683,714.0,477.0,591.0,373.0,13353.0,65.19502979684998,758.5544366138002,32.4423230510163,25.762188991625507,57.166727461909495,0.6077975860038509,0.2059080063066424,1.2592999399842266,777.9926496999915,177.13640814231536,938.2020568867426,0.0013430957283284716,-0.0005071639981196767,0.0011137458043423878,0.5235395089853357,17.41498719827788,711.2685776445642,722.1661856117014,732.3166696992237,742.0176099133312,751.3053356350853,760.1531548279978,768.5159594517726,696.6339341744077,776.4472166874035,791.1342762103865,797.9471566161476,804.4835148222935,810.7566984857287,816.7412802458605,822.4571211666864,827.9411623362664,783.9860008737194,675.5199091224835,650.7719941212665,625.8281962085919,59.195590911412154,107.91874957245192,155.6223719456645,199.77026055457242,240.70358139130167,279.1711222523711,315.54745659505465,349.93221335235705,382.41992690634675,413.2920293251447,442.8079033767021,471.1740248970722,498.468785137438,524.89542549131,550.617744875189,575.8659751481308,600.885849445138,833.1896201886908,838.1807124272608
74,371.0,184.0,"3.590821984632272,-30.402531437553076","3.5908189535029047,-30.40253361415978",1161.7684,None,None,None,None,335.0,418.0,142.0,215.0,0.01933339,82.46671,396.0,200.0,371.0,184.0,3678.0,34.21613305714107,501.144227664784,6.141192993249629,5.855540756339868,-40.7084404258079,0.30143770812653314,0.04651412799170285,1.0487832377565611,36.256526175942646,-1.6942569872868434,35.745082753552964,0.02764246695330983,0.002620413168680427,0.028037977519039026,0.8928985590662456,197.69872277038766,1078.6604435286947,1080.7565025048978,1082.5784078354868,1084.1489738643868,1085.4568724224619,1086.5632488652916,1087.5698286365202,1076.2938172708627,1088.4182388522288,1089.6145959815321,1089.9582718546549,1090.2006862061244,1090.4101474156355,1090.591726319982,1090.7147230341234,1090.7695798970992,1089.1005741055817,1073.579889343036,1070.447482612195,1066.9016546591888,535.7496638134555,752.5396276491224,871.1603971499967,924.894511265178,949.0931779824881,968.3107254979989,986.9314641523656,1001.7989812523633,1011.8447357487594,1019.8620694197763,1027.8115105509235,1035.7427263396896,1042.924264106388,1048.8750272400798,1053.982718123072,1058.6191134087032,1062.9232869337345,1090.8091287539853,1090.8908171954167
79,396.0,313.0,"3.5902658643303793,-30.400418477985873","3.590262832907276,-30.40042065464767",1089.5432,None,None,None,None,350.0,457.0,235.0,368.0,0.019336654,5.026584,408.0,255.0,396.0,313.0,9492.0,54.96723969471763,583.7066735052979,22.965420581347217,14.825809991001226,-56.17861321525453,0.7637002409635504,0.3544289799315532,1.5490162490471997,315.10401672561125,-142.24162252271208,432.1111676418269,0.0037274328134538058,0.002453980044642317,0.0027181177890030768,0.5774476336853408,14.021970279476713,611.0785459675699,628.3915614458901,645.5241754280089,662.444642265658,679.1503212037537,695.5856482670995,711.6131847177753,593.6364281688565,727.1938110809707,756.7621134912899,770.5781395830369,783.6370062837647,795.9638793555522,807.6129825006947,818.6693286670495,829.2791401642494,742.2718875291481,576.1623501546568,558.7179136564672,541.2495863691846,47.71431153413398,88.45459130008535,131.20627026402397,173.6883677861088,214.79369776730087,253.83356944437148,290.6049839987787,324.50321132643705,354.95230294687025,382.100394641455,406.52421181156376,428.8549702058756,449.6207003217546,469.177984195506,487.8387474910234,505.9403446512354,523.6832213913302,839.5298196886793,849.4471467452128
98,509.0,631.0,"3.5881048386746266,-30.395036147102363","3.5881018064867614,-30.39503832397821",1071.336,None,None,None,None,445.0,571.0,586.0,693.0,0.019333899,9.788351,461.0,665.0,509.0,631.0,8109.0,50.80526416685931,594.2691193458119,17.04654498432538,16.03661495577049,19.347378302144723,0.33908826960070865,0.05924543826819695,1.0629765091536032,286.9175576182202,10.444009548068351,260.84015752405026,0.003490408941151644,-0.000279511135509799,0.003839361308435379,0.6426904547678922,27.53038294771846,716.2962746736551,727.0058685641521,737.6382424042671,748.2949462024219,759.0485615499013,769.8996002340707,780.8433454827435,705.4035211451048,791.7702799301796,812.5415867922911,822.3618594944649,831.5445445810676,839.6366050388322,847.4079662080242,855.0936625221492,862.727297290735,802.366905391107,694.1619449627857,682.3317111690617,669.6431935940487,92.88638223413861,165.9571429719968,231.66105843988495,285.95731343409966,331.9690096070671,372.26098111419594,408.7570646246278,442.34662079032813,473.72063940070313,503.36279470582866,531.4112191046573,557.6896017916946,581.8608549525285,603.7001439274143,623.1561148136658,640.4264681316994,655.8055796583695,870.2140945060585,877.3603606843745
99,662.0,656.0,"3.585130353537955,-30.394800274096877","3.585127321252393,-30.394802451267346",1027.5757,None,None,None,None,606.0,737.0,545.0,699.0,0.019333197,9.920938,733.0,693.0,662.0,656.0,10066.0,56.60483472571965,794.2112908632927,27.45360581071305,16.084356796998286,56.39222679911418,0.8104020794487832,0.414125892682491,1.706851331216212,410.35648069652353,228.1843511896052,602.0505248866386,0.0030876406876567063,-0.002340505515387545,0.0021045299586455344,0.6478626497311158,26.909936491044533,616.2576984433426,623.9672947264413,631.2784170251634,638.2843522975224,644.9729964708208,651.2859498498241,657.3515768858498,608.0626495878103,663.14179229772,673.8573074254521,678.8122007470432,683.5569306842159,688.0748371449633,692.3492076615373,696.4325866813751,700.335228334858,668.6428304089188,599.44666873864,590.3989509172168,580.791748434955,87.66491260345235,153.3491523484059,213.02849710530288,263.2519531275182,306.18354823555165,344.12373476676055,378.5178835762133,410.1697261408214,439.7164837197534,466.6957289245627,488.3700355286826,505.9091407922565,521.1209549100804,535.0068494179413,547.8217363094824,559.7217713890852,570.577619455311,704.0349381252233,707.4962621836161
110,258.0,375.0,"3.592997703453549,-30.399329856133228","3.592994671946383,-30.39933203252442",850.2809,None,None,None,None,219.0,297.0,336.0,414.0,0.019344673,7.854843,278.0,410.0,258.0,375.0,3217.0,32.00004537267493,302.6051224213831,15.317461257645316,4.596772125638116,42.99504578591882,0.9539077059888786,0.6998998692852083,3.332221141051009,135.34218683852737,106.48583268652692,120.41274651598142,0.024288065814098442,-0.04295782610051466,0.027299434955765894,0.7496127508015926,22.161495999618282,703.4430785450323,716.4983167258026,728.7294993477501,740.1469244884677,750.8039186069384,760.6428449372925,769.7303059508573,689.526745164462,778.062502458707,792.6000631393359,798.9518602818437,804.8343932078694,810.2233760942927,815.0918443117038,819.5344412191115,823.4640861581007,785.6683703958196,674.7810964722415,659.1613056100099,642.5063628960083,74.96316182057137,135.69980080662546,193.37411123324205,244.67559981667486,289.92458620080237,330.7154698463343,368.1071260240898,402.56947986469066,434.3964917534835,463.87459663263735,491.41447372129437,517.2499530985943,541.5243797653662,564.3526943415817,585.8268786465234,605.9360528369892,624.8132213936574,826.8679874509704,829.8117952960766
